trial_index,phase,image,cond,correct,stim_dur,resp_deadline,isi,feedback
1,practice,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,1
2,practice,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.png,similar,similar,1.0,2.5,0.25,1
3,practice,stimuli/B1/ListA/B1_D2_Kitchen.png,different,different,1.0,2.5,0.25,1
4,practice,stimuli/B1/ListA/B1_D6_Dining.png,different,different,1.0,2.5,0.25,1
5,main,stimuli/B1/ListA/B1_S1_AddBigBlanket.png,similar,similar,1.0,2.5,0.25,0
6,main,stimuli/B1/ListA/B1_D1_Bedroom.png,different,different,1.0,2.5,0.25,0
7,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
8,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.png,similar,similar,1.0,2.5,0.25,0
9,main,stimuli/B1/ListA/B1_D3_Bathroom.png,different,different,1.0,2.5,0.25,0
10,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
11,main,stimuli/B1/ListA/B1_S2_AddLargePlant.png,similar,similar,1.0,2.5,0.25,0
12,main,stimuli/B1/ListA/B1_D8_Entryway.png,different,different,1.0,2.5,0.25,0
13,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
14,main,stimuli/B1/ListA/B1_D4_Hallway.png,different,different,1.0,2.5,0.25,0
15,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.png,similar,similar,1.0,2.5,0.25,0
16,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
17,main,stimuli/B1/ListA/B1_S1_AddBigBlanket.png,similar,similar,1.0,2.5,0.25,0
18,main,stimuli/B1/ListA/B1_D7_Laundry.png,different,different,1.0,2.5,0.25,0
19,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
20,main,stimuli/B1/ListA/B1_S2_AddLargePlant.png,similar,similar,1.0,2.5,0.25,0
21,main,stimuli/B1/ListA/B1_D5_Study.png,different,different,1.0,2.5,0.25,0
22,main,stimuli/B1/ListA/B1_S3_CurtainsHalfClosed.png,similar,similar,1.0,2.5,0.25,0
23,main,stimuli/B1/ListA/B1_T_LivingRoom_Base.png,same,same,1.0,2.5,0.25,0
24,main,stimuli/B1/ListA/B1_D6_Dining.png,different,different,1.0,2.5,0.25,0
