trial_index,phase,image,cond,correct,stim_dur,resp_deadline,isi,feedback
1,practice,stimuli/B2/ListA/B2_F1_Bedroom_A.webp,warmup,,1.0,0.0,0.45,0
2,practice,stimuli/B2/ListA/B2_F1_Bedroom_A.webp,same,same,1.0,4.0,0.45,1
3,practice,stimuli/B2/ListA/B2_F1_Bedroom_B.webp,similar,similar,1.0,4.0,0.45,1
4,practice,stimuli/B2/ListA/B2_F2_Kitchen_A.webp,different,different,1.0,4.0,0.45,1
5,practice,stimuli/B2/ListA/B2_F3_Hallway_A.webp,different,different,1.0,4.0,0.45,1
6,main,stimuli/B2/ListA/B2_F1_Bedroom_A.webp,warmup,,1.0,0.0,0.45,0
7,main,stimuli/B2/ListA/B2_F1_Bedroom_B.webp,similar,similar,1.0,4.0,0.45,0
8,main,stimuli/B2/ListA/B2_F1_Bedroom_B.webp,same,same,1.0,4.0,0.45,0
9,main,stimuli/B2/ListA/B2_F2_Kitchen_A.webp,different,different,1.0,4.0,0.45,0
10,main,stimuli/B2/ListA/B2_F2_Kitchen_B.webp,similar,similar,1.0,4.0,0.45,0
11,main,stimuli/B2/ListA/B2_F2_Kitchen_B.webp,same,same,1.0,4.0,0.45,0
12,main,stimuli/B2/ListA/B2_F3_Hallway_A.webp,different,different,1.0,4.0,0.45,0
13,main,stimuli/B2/ListA/B2_F3_Hallway_B.webp,similar,similar,1.0,4.0,0.45,0
14,main,stimuli/B2/ListA/B2_F3_Hallway_B.webp,same,same,1.0,4.0,0.45,0
15,main,stimuli/B2/ListA/B2_F4_Dining_A.webp,different,different,1.0,4.0,0.45,0
16,main,stimuli/B2/ListA/B2_F4_Dining_B.webp,similar,similar,1.0,4.0,0.45,0
17,main,stimuli/B2/ListA/B2_F4_Dining_B.webp,same,same,1.0,4.0,0.45,0
18,main,stimuli/B2/ListA/B2_F5_Study_A.webp,different,different,1.0,4.0,0.45,0
19,main,stimuli/B2/ListA/B2_F5_Study_B.webp,similar,similar,1.0,4.0,0.45,0
20,main,stimuli/B2/ListA/B2_F1_Bedroom_A.webp,different,different,1.0,4.0,0.45,0
21,main,stimuli/B2/ListA/B2_F1_Bedroom_B.webp,similar,similar,1.0,4.0,0.45,0
22,main,stimuli/B2/ListA/B2_F2_Kitchen_A.webp,different,different,1.0,4.0,0.45,0
23,main,stimuli/B2/ListA/B2_F2_Kitchen_A.webp,same,same,1.0,4.0,0.45,0
24,main,stimuli/B2/ListA/B2_F3_Hallway_A.webp,different,different,1.0,4.0,0.45,0
25,main,stimuli/B2/ListA/B2_F3_Hallway_B.webp,similar,similar,1.0,4.0,0.45,0
26,main,stimuli/B2/ListA/B2_F3_Hallway_B.webp,same,same,1.0,4.0,0.45,0
